iteration,alpha_fitness,features_selected,alpha_mask
1,0.961491,9,010010111001000000000001101000
2,0.961491,9,010010111001000000000001101000
3,0.961491,9,010010111001000000000001101000
4,0.961491,9,010010111001000000000001101000
5,0.961491,9,010010111001000000000001101000
6,0.961491,9,010010111001000000000001101000
7,0.961491,9,010010111001000000000001101000
8,0.961491,9,010010111001000000000001101000
9,0.961491,9,010010111001000000000001101000
10,0.961491,9,010010111001000000000001101000
11,0.961491,9,010010111001000000000001101000
12,0.961491,9,010010111001000000000001101000
13,0.961491,9,010010111001000000000001101000
14,0.961491,9,010010111001000000000001101000
15,0.961491,9,010010111001000000000001101000
16,0.961491,9,010010111001000000000001101000
17,0.961491,9,010010111001000000000001101000
18,0.961491,9,010010111001000000000001101000
19,0.961491,9,010010111001000000000001101000
20,0.961491,9,010010111001000000000001101000
21,0.961491,9,010010111001000000000001101000
22,0.961491,9,010010111001000000000001101000
23,0.961491,9,010010111001000000000001101000
24,0.961491,9,010010111001000000000001101000
25,0.961491,9,010010111001000000000001101000
26,0.961491,9,010010111001000000000001101000
27,0.961491,9,010010111001000000000001101000
28,0.961491,9,010010111001000000000001101000
29,0.961491,9,010010111001000000000001101000
30,0.961491,9,010010111001000000000001101000
